Wahlbezirk,eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE
"Grünewaldschule, Zimmer 3 (20.8121000.309)",886,429,133,113,25,26,99,18,8
"Fritz-Ulrich-Schule, Zimmer 12 (20.8121000.310)",714,441,127,93,38,55,85,16,18
Grundschule Alt-Böckingen Z. 2 (20.8121000.311),1128,629,197,185,60,47,76,42,12
"Bürgerhaus Bö, Otto-Rombach-Z. (20.8121000.312)",689,358,87,98,29,19,71,28,20
Grundschule Alt-Böckingen Z. 1 (20.8121000.313),1158,653,177,179,57,55,121,33,19
"BürgerhausBö, H.-Rombach-Z. (20.8121000.314)",734,399,98,104,37,34,63,34,18
"Petrus-Gemeindehaus, Gr. Saal (20.8121000.315)",937,515,147,153,41,55,70,30,8
"Petrus-Gemeindehaus, Kl. Saal (20.8121000.316)",716,373,89,112,30,33,54,24,22
"Leinbachschule, Zimmer 4 (20.8121000.401)",853,510,128,129,29,56,100,33,26
Städt. Ki.garten Feurerstr. 31 (20.8121000.402),1090,666,203,177,51,71,96,34,28
Altes Rathaus Neckargartach (20.8121000.403),829,461,121,122,31,32,81,38,25
"Leinbachschule, Zimmer 5 (20.8121000.404)",793,401,90,119,25,28,96,22,8
"Albrecht-Dürer-Schule, Aula (20.8121000.405)",851,518,167,141,47,43,80,15,19
Ev. Gem.zentr. Sachsenäckerstr Foyer (20.8121000.406),781,471,150,94,24,31,105,37,22
Ev. Gem.zentr. Sachsenäckerstr. Clubr. (20.8121000.407),895,532,161,118,32,54,115,23,19
"Therapeutikum, Kreuzäckerstr. (20.8121000.501)",1514,753,200,162,73,64,153,55,36
Gem.haus Martinussaal B Auf dem Bau (20.8121000.502),1191,638,181,157,64,41,115,43,25
Gem.haus Martinussaal A Auf dem Bau (20.8121000.503),1283,671,213,162,53,62,103,42,30
"Staufenbergschule, Zimmer 5 (20.8121000.504)",1034,568,166,132,55,56,95,45,12
"Staufenbergschule, Zimmer 3 (20.8121000.505)",1022,561,168,115,25,28,149,41,22
"Staufenbergschule, Zimmer 4 (20.8121000.506)",926,584,220,139,43,56,78,21,19
"Mörike-Realschule, Zimmer E 47 (20.8121000.507)",1092,617,206,136,53,62,97,36,21
"Grundschule Klingenberg, Z. 6 (20.8121000.601)",893,563,180,146,49,59,79,18,20
Altes Rathaus Klingenberg (20.8121000.602),670,360,111,76,20,34,74,25,16
Bürgeramt Frankenbach Sitz.s. (20.8121000.701),723,403,119,105,19,39,86,15,13
"Leintalsporthalle, Mehrzweckr. (20.8121000.702)",844,537,213,128,32,62,66,19,12
"Bürgeramt Frankenbach, Z.5 (20.8121000.703)",950,525,153,123,43,48,106,23,24
Gemeindehalle Großer Saal (20.8121000.704),800,438,147,112,22,26,82,28,15
Kath. Kiga Leintalstr.4 (20.8121000.705),773,442,118,128,32,29,104,8,16
Bürgeramt Kirchhausen Foyer (20.8121000.801),834,512,196,90,39,39,94,23,25
"St, Franziskus-Kindergarten (20.8121000.802)",1190,809,349,155,66,71,116,15,30
Deutschordenshalle Vereinsraum (20.8121000.803),793,505,210,93,29,46,78,19,20
"Dienstleistungszentrum, Feuerwehr (20.8121000.901)",1237,721,275,139,47,78,125,27,20
"Böllingertalhalle Foyer, links (20.8121000.902)",619,404,151,117,27,41,45,9,10
"Bürgeramt Biberach, Sitzungssaal (20.8121000.903)",1135,663,259,150,38,63,96,33,18
"Böllingertalhalle Foyer, rechts (20.8121000.904)",697,441,150,111,33,38,70,17,18
"Bürgeramt Horkheim, Sitzungssaal (20.8121000.1001)",1008,625,214,169,60,63,76,17,22
"Grundschule Horkheim, Mensa (20.8121000.1002)",960,605,222,127,86,66,63,16,18
AWO-Kindertagesstätte (20.8121000.1003),1108,704,236,171,60,71,106,32,24
"Schul-, Kultur-,Sportamt, Z. 9 (20.8121000.B290)",0,1119,404,229,137,107,126,61,50
"Rathaus Heilbronn, Zimmer 106 (20.8121000.B291)",0,855,267,208,119,94,84,41,35
"Schul-, Kultur-,Sportamt, Bildungsbüro (20.8121000.B292)",0,845,300,189,93,108,87,31,30
"Rathaus Heilbronn, Zimmer 105 (20.8121000.B293)",0,864,331,162,93,117,86,38,29
"Rathaus Heilbronn, Archivsaal (20.8121000.B294)",0,864,367,156,78,154,67,16,20
"GPR, Marktplatz 11 Z. 4+5 (20.8121000.B295)",0,908,390,171,88,130,65,37,24
"Rathaus Heilbronn, Zimmer 471 (20.8121000.B296)",0,883,297,205,93,102,98,30,49
Bürgeramt Böckingen (20.8121000.B390),0,1000,331,237,76,126,141,36,41
"Rathaus Heilbronn, Zimmer 60 (20.8121000.B391)",0,1038,319,293,98,128,115,37,36
"Rathaus Heilbronn, Zimmer 104 (20.8121000.B490)",0,880,261,244,84,99,113,36,34
"Rathaus Heilbronn, Z. 412-414 (20.8121000.B590)",0,647,229,149,70,60,76,26,34
"Rathaus Heilbronn, Kantine (20.8121000.B591)",0,662,269,145,56,77,68,15,25
"Rathaus Heilbronn, Zimmer 162 (20.8121000.B690)",0,333,108,90,29,36,36,12,20
Bürgeramt Frankenbach (20.8121000.B790),0,769,248,179,64,77,123,36,35
Bürgeramt Kirchhausen Deutschrittersaal (20.8121000.B890),0,438,189,96,34,46,52,9,7
Bürgeramt Biberach Besprechungsraum (20.8121000.B990),0,700,279,151,58,90,68,23,22
Bürgeramt Horkheim (20.8121000.B1090),0,557,208,135,54,55,58,22,19
"GS Jagstfeld, EG rechts (21.8125005.104)",785,467,171,122,33,37,62,13,18
"Jahnhalle, Badstraße (21.8125005.105)",847,455,147,116,35,41,67,20,25
"GS Jagstfeld, EG links (21.8125005.111)",894,558,198,130,33,49,108,17,21
Rathaus Bad Friedrichshall (21.8125005.201),1349,782,241,232,47,52,128,36,28
Kiga Waldersee (21.8125005.202),1332,770,278,160,65,87,99,34,33
Alte Kelter Kochendorf (21.8125005.203),1084,632,157,170,34,59,129,46,26
GS Hagenbach (21.8125005.206),1064,639,188,175,39,73,91,33,30
Ev. Gemeindehaus (21.8125005.210),879,456,138,117,33,36,95,19,12
Altes Rathaus (21.8125005.307),1137,716,266,152,44,52,146,21,25
"Alte Kelter, Zehentgasse (21.8125005.408)",760,486,174,119,23,39,92,24,10
Vwstelle Untergriesheim (21.8125005.509),1021,646,232,168,35,43,113,32,16
Vwstelle Plattenwald (21.8125005.612),1599,778,168,143,27,45,271,79,10
Briefwahl Bad Friedrichshall (21.8125005.B901),0,2118,776,533,153,189,286,79,83
Bürgerhaus (22.8125006.101),1589,898,294,221,69,62,141,61,25
Rathaus (22.8125006.102),1546,783,250,189,60,66,138,44,19
Albert-Schweitzer-Schule (22.8125006.103),1461,874,322,184,62,76,140,49,32
Realschule (22.8125006.104),1287,749,213,198,55,51,135,52,33
Klinik-Zentralverwaltung (22.8125006.105),892,376,127,91,34,32,55,21,9
Mühlentalschule Zimmerhof (22.8125006.106),1270,697,204,175,32,55,146,47,26
"Babstadt, Bürgerbüro (22.8125006.210)",812,479,156,106,24,46,93,19,23
"Bonfeld, Bürgerbüro (22.8125006.311)",1381,868,283,211,79,99,137,23,24
"Fürfeld, Bürgerbüro (22.8125006.412)",1226,758,276,177,47,69,133,27,20
"Grombach, Bürgerbüro (22.8125006.513)",956,579,246,93,24,58,102,22,20
"Heinsheim, Bürgerbüro (22.8125006.614)",1184,727,239,217,58,59,105,15,22
"Obergimpern, Bürgerbüro (22.8125006.715)",1253,784,303,143,56,69,151,26,24
"Treschklingen, Bürgerbüro (22.8125006.816)",700,444,128,97,27,47,103,19,19
"Wollenberg, Bürgerbüro (22.8125006.917)",314,177,60,28,16,15,34,7,13
Briefwahl Bad Rappenau (22.8125006.B901),0,3022,1183,609,216,309,416,127,120
Rathaus (23.8125007.101),996,608,182,172,74,65,61,29,15
Kindergarten Landgraben (23.8125007.102),1070,654,245,160,55,61,76,31,14
Gymnasium (23.8125007.103),1170,667,276,186,40,50,76,18,14
Kindergarten Weimar (23.8125007.104),1257,755,272,214,56,56,92,39,18
Ehem. Schulhaus Corneliastr. (23.8125007.205),257,151,50,27,11,19,34,2,4
Ehem. Schulhaus Schulgasse (23.8125007.306),255,179,72,33,12,15,23,15,7
Briefwahl Bad Wimpfen (23.8125007.B901),0,979,417,217,96,106,71,35,35
Altes Schulhaus Eberstadt (24.8125021.101),1095,706,262,143,56,80,102,27,29
Mehrzweckhaus Hölzern (24.8125021.202),266,179,58,36,14,20,36,10,3
Grundschule Eberstadt (24.8125021.103),802,550,198,138,52,50,70,13,21
Altes Schulhaus Lennach (24.8125021.104),199,135,47,28,13,13,23,7,3
Briefwahl Eberstadt (24.8125021.B901),0,363,140,87,29,36,37,14,17
Gemeindehalle (25.8125024.101),1354,827,283,208,58,64,127,44,27
"Kinderhaus ""Arche Noah"" (25.8125024.102)",1348,862,318,181,64,79,148,26,35
Briefwahl Ellhofen (25.8125024.B901),0,529,207,114,59,57,56,14,18
Grundschule im Rot (26.8125026.101),1527,747,227,155,49,66,165,48,24
Grundschule im Rot (26.8125026.102),1479,791,249,190,54,69,145,33,31
Grundschule im Rot (26.8125026.103),1082,562,142,143,46,62,106,28,22
Hellbergschule Eppingen (26.8125026.104),1284,712,248,149,42,43,148,39,29
Hellbergschule Eppingen (26.8125026.105),1184,607,219,138,44,42,102,31,23
Hellbergschule Eppingen (26.8125026.106),895,543,184,107,37,40,117,32,18
Dorfgem.haus Adelshofen (26.8125026.207),1037,620,261,105,28,44,133,16,23
Feuerwehr Elsenz (26.8125026.308),1407,790,300,162,63,67,131,29,27
Rathaus Kleingartach (26.8125026.409),1305,810,267,199,71,75,116,37,34
Grundschule Mühlbach (26.8125026.510),1594,992,342,241,77,99,159,31,27
Feuerwehrgerätehaus Richen (26.8125026.611),1224,766,242,153,57,81,143,42,37
Rathaus Rohrbach (26.8125026.712),1289,766,334,132,52,72,120,26,18
Briefwahl Eppingen (26.8125026.B901),0,2979,1180,582,230,250,488,92,127
Rathaus (27.8125027.101),1201,733,339,138,43,69,77,17,46
Kindergarten Hüttenäcker (27.8125027.102),1281,811,341,156,63,90,101,23,27
Kindergarten Binswangen (27.8125027.103),1325,835,316,180,60,95,112,34,20
Briefwahl Erlenbach (27.8125027.B901),0,788,327,160,55,95,96,14,39
Neues Rathaus (28.8125034.101),1398,909,339,204,92,65,138,26,28
Kindergarten Wiesenstraße (28.8125034.102),1172,694,234,163,65,73,89,24,31
Grundschule Stebbach (28.8125034.203),1103,696,206,179,49,64,120,39,23
Briefwahl Gemmingen (28.8125034.B901),0,557,221,119,46,70,57,17,26
Rathaus Sitzungssaal (29.8125039.101),955,506,176,177,15,34,58,28,10
Kindergarten Regenbogen (29.8125039.102),958,565,192,203,19,20,88,17,18
Kindergarten Theresienstraße (29.8125039.103),1070,604,182,237,20,33,93,21,9
Böttingen (29.8125039.204),347,204,51,79,7,13,35,10,4
Tiefenbach (29.8125039.305),480,331,154,77,4,28,51,7,4
Bachenau (29.8125039.406),370,269,106,96,10,12,32,4,8
Obergriesheim (29.8125039.507),519,357,99,156,18,16,48,4,8
Höchstberg (29.8125039.608),616,458,218,109,35,28,39,13,11
Briefwahl Gundelsheim (29.8125039.B901),0,1079,371,403,40,71,128,31,28
Ittlingen (30.8125047.101),1731,1013,441,197,83,79,133,26,41
Briefwahl Ittlingen (30.8125047.B901),0,330,140,82,36,21,28,9,14
Jagsthausen (31.8125048.101),876,526,198,103,60,58,65,23,16
Olnhausen (31.8125048.102),200,139,42,47,19,16,7,5,1
Briefwahl Jagsthausen (31.8125048.B901),0,202,69,40,34,24,17,4,12
"Rathaus Kirchardt, Vereinsraum (32.8125049.101)",1351,768,311,149,28,71,163,20,11
Kath. Gemeindehaus (32.8125049.102),1119,663,264,116,54,55,115,30,18
Grundschule Berwangen (32.8125049.201),1064,641,203,142,60,51,142,20,16
Ratskeller Bockschaft (32.8125049.301),336,209,82,29,16,14,46,13,8
Briefwahl Kirchardt (32.8125049.B901),0,560,223,98,46,44,97,17,31
Gemeindehalle Lehrensteinsfeld (33.8125057.101),1814,1201,407,296,115,141,162,34,31
Briefwahl Lehrensteinsfeld (33.8125057.B901),0,333,119,73,29,42,35,16,16
Rathaus Löwenstein (35.8125059.101),273,155,50,31,10,13,33,7,7
Gemeindehaus Teusserbad (35.8125059.102),619,389,129,81,39,56,51,14,16
Alter Schulsaal Hößlinsülz (35.8125059.103),628,425,165,83,40,35,58,22,15
Schule Reisach (35.8125059.104),591,286,97,60,30,29,30,18,14
Hirrweiler Villa Ackermann (35.8125059.105),377,206,61,46,17,22,38,13,7
Briefwahl Löwenstein (35.8125059.B901),0,474,175,117,43,59,39,19,17
Neues Rathaus (36.8125061.101),1492,888,337,204,47,64,145,32,43
Altes Rathaus (36.8125061.102),1125,660,258,153,48,56,87,22,25
Briefwahl Massenbachhausen (36.8125061.B901),0,544,259,97,31,55,72,17,13
Mediathek Möckmühl (37.8125063.101),1836,981,311,208,66,86,201,51,38
Kindergarten Schwärzweg (37.8125063.102),964,502,142,115,45,39,108,22,21
Kindergarten Hahnenäcker (37.8125063.103),1167,614,206,107,30,40,145,44,22
Altes Schulhaus Bittelbronn (37.8125063.204),124,89,24,23,11,10,16,2,3
Rathaus Korb (37.8125063.305),192,108,40,19,10,10,17,5,6
Rathaus Ruchsen (37.8125063.406),454,277,91,40,16,25,77,12,10
Rathaus Züttlingen (37.8125063.507),817,474,140,126,31,38,92,21,18
Briefwahl Möckmühl (37.8125063.B901),0,1017,313,234,95,103,157,51,58
Städtische Musikschule (38.8125065.106),653,327,106,104,23,22,38,19,10
Hermann-Greiner-Realschule (38.8125065.107),692,424,153,131,18,36,53,18,10
Kiga Philipp-Wesp (38.8125065.108),652,390,113,125,34,26,48,23,15
Neubergschule (38.8125065.109),642,372,119,106,22,31,61,12,8
Neubergschule (38.8125065.110),557,336,125,78,23,27,37,21,14
Neubergschule (38.8125065.111),644,416,177,115,24,38,44,8,6
Kiga Harzstraße (38.8125065.112),687,485,164,107,32,48,97,14,16
Kiga Harzstraße (38.8125065.113),885,544,214,112,39,47,83,26,14
Kiga Pfarrer Abele (38.8125065.921),1026,708,301,145,61,54,96,19,20
Rathaus (38.8125065.201),750,383,128,80,33,38,52,17,26
Sulmturnhalle (38.8125065.202),750,463,179,96,42,44,61,24,11
Christian-Schmidt-Schule (38.8125065.203),813,459,149,112,40,56,58,21,16
Johannes-Häußler-Schule (38.8125065.204),890,499,164,129,49,44,70,18,13
Kiga Gerockweg (38.8125065.205),672,393,158,95,33,34,47,11,9
Pestalozzischule (38.8125065.414),790,388,115,92,12,16,90,36,16
Pestalozzischule II (38.8125065.415),751,381,87,108,17,28,86,24,12
Grundschule Amorbach (38.8125065.416),843,505,126,93,28,38,155,38,15
Grundschule Amorbach (38.8125065.417),1329,727,175,142,26,61,220,53,30
Rathaus Obereisesheim (38.8125065.718),974,595,216,130,52,75,77,22,17
Wilhelm-Maier-Schule (38.8125065.719),1047,649,210,190,57,49,95,23,19
Kiga Robert-Koch (38.8125065.720),870,580,225,140,42,68,66,21,15
Briefwahl Neckarsulm (38.8125065.B901),0,887,353,207,70,83,107,31,31
Briefwahl Neckarsulm 2 (38.8125065.B902),0,923,352,215,74,109,102,38,28
Briefwahl Neckarsulm 3 (38.8125065.B903),0,933,346,223,107,105,82,36,29
Neudenau (39.8125068.101),1779,1080,492,220,64,73,139,51,21
Herbolzheim (39.8125068.102),1180,740,291,163,44,57,121,28,24
Siglingen/ Kreßbach (39.8125068.103),702,440,142,86,44,32,93,21,12
Reichertshausen (39.8125068.104),164,122,56,9,11,17,24,3,2
Briefwahl Neudenau (39.8125068.B901),0,660,287,118,50,51,89,32,25
Bürgerbüro (40.8125069.101),1142,637,194,148,45,51,136,37,19
Grundschule (40.8125069.102),1366,804,292,176,48,87,142,32,19
Kita Daistler (40.8125069.103),842,568,189,89,32,56,125,38,25
Rathaus Cleversulzbach (40.8125069.201),603,395,151,83,26,44,70,6,15
Gemeindehalle Kochertürn (40.8125069.301),765,490,208,90,27,40,98,13,7
Rathaus Stein a. K. (40.8125069.401),979,640,257,109,31,48,144,24,17
Grundschule Stein a. K. (40.8125069.402),933,606,283,107,25,35,112,21,17
Bürgerhaus Bürg (40.8125069.501),615,409,118,107,23,42,79,16,17
Briefwahl Neuenstadt a. K. (40.8125069.B901),0,1272,522,253,86,119,192,51,43
Rathaus (41.8125078.101),1238,756,309,162,58,61,104,26,33
Kochana (41.8125078.102),1311,846,345,179,67,70,109,34,31
Kochertalschule (41.8125078.103),787,451,174,95,44,47,59,19,11
Seniorenwohnanlage (41.8125078.104),684,404,159,91,33,34,57,16,12
Mehrzweckhalle Degmarn (41.8125078.204),626,425,144,105,36,32,72,16,9
Briefwahl Oedheim (41.8125078.B901),0,921,361,209,71,94,102,25,42
Offenau (42.8125079.101),1979,1183,424,298,83,71,201,51,42
Briefwahl Offenau (42.8125079.B901),0,420,181,105,29,24,53,13,12
Roigheim (43.8125084.101),974,576,231,129,35,39,94,21,14
Briefwahl Roigheim (43.8125084.B901),0,186,74,33,13,14,28,12,10
Mediathek (44.8125086.101),1447,940,317,220,109,95,119,40,24
Frizhalle (44.8125086.102),1229,791,255,197,82,81,84,48,27
Sonnenberghalle (44.8125086.103),940,657,213,153,69,82,80,25,31
Leintalschule (44.8125086.104),850,565,199,133,68,62,52,25,18
Verwaltungsstelle Massenbach (44.8125086.201),1352,835,306,162,51,92,144,41,27
Grundschule Stetten (44.8125086.301),1523,1028,372,211,85,129,144,45,35
Verwaltungsstelle Niederhofen (44.8125086.401),693,445,178,77,51,40,60,15,18
Briefwahl Schwaigern (44.8125086.B901),0,1308,474,287,144,153,143,53,45
Siegelsbach (45.8125087.101),1187,705,250,174,41,69,106,28,22
Briefwahl Siegelsbach (45.8125087.B901),0,262,96,50,18,33,50,9,6
Gemeinschaftsraum Seniorenwohnanlage (46.8125096.101),1544,991,303,235,83,90,187,49,32
Kindergarten Hölderlinstraße (46.8125096.102),1423,898,256,272,82,98,117,36,26
Briefwahl Untereisesheim (46.8125096.B901),0,550,220,141,39,53,62,20,9
Rathaus (47.8125102.101),725,413,115,90,41,37,60,33,26
Begegnungsstätte Backhaus (47.8125102.102),1075,588,183,122,48,46,105,51,20
"J.-Kerner-Gymnasium, Z. 10 (47.8125102.103)",942,564,189,129,47,56,102,20,16
KiGa Stadtseebachtal (47.8125102.104),1905,1132,391,248,123,89,167,54,46
Hildthalle (47.8125102.105),941,499,123,134,61,42,79,31,19
"J.-Kerner-Gymnasium, Z. 37 (47.8125102.106)",1115,605,229,124,74,63,67,26,19
Verwaltungsstelle Grantschen (47.8125102.207),623,412,159,79,40,31,59,29,10
Verwaltungsstelle Gellmersbach (47.8125102.308),800,530,222,85,32,87,71,20,7
Verwaltungsstelle Wimmental (47.8125102.409),456,248,106,44,19,15,41,12,7
Briefwahl Weinsberg (47.8125102.B901),0,1726,646,352,179,178,197,83,81
Widdern (48.8125103.101),1064,615,234,136,52,34,94,30,26
Widdern (48.8125103.102),260,167,73,35,13,15,18,6,6
Briefwahl Widdern (48.8125103.B901),0,227,69,51,25,19,34,9,16
Finsterrot (49.8125107.101),378,215,81,41,22,16,35,9,9
Maienfels (49.8125107.102),816,558,215,104,56,70,65,19,23
Neuhütten (49.8125107.103),1264,721,289,144,58,75,86,28,30
Neulautern (49.8125107.104),402,223,80,52,13,17,45,10,5
Stangenbach (49.8125107.105),415,200,63,51,16,27,26,7,5
Wüstenrot (49.8125107.106),1759,936,381,164,67,95,164,37,19
Weihenbronn (49.8125107.107),209,131,36,34,15,14,19,6,4
Briefwahl Wüstenrot (49.8125107.B901),0,992,349,223,84,116,145,31,40
"Affaltrach, Alte Schule (50.8125110.101)",890,505,176,101,53,40,86,22,17
"Affaltrach, Kinderhaus Postwiese (50.8125110.102)",1067,684,255,174,62,62,94,20,11
"Affaltrach, Rathaus (50.8125110.103)",1317,877,287,184,98,77,146,44,19
"Willsbach, Kiga Siebenmorgenweg (50.8125110.201)",1015,566,202,124,47,52,91,16,26
"Willsbach, Hofwiesenhalle (50.8125110.202)",1010,593,162,143,63,58,97,41,24
"Willsbach, Karoline-Schnizler-KiGa (50.8125110.203)",905,615,206,148,57,73,89,19,18
"Eschenau, Rathaus (50.8125110.301)",805,531,155,148,34,49,89,28,19
"Eschenau, Gemeindehalle (50.8125110.302)",1024,681,229,168,80,72,77,29,22
"Sülzbach, Gemeindehalle (50.8125110.401)",1301,796,305,213,71,72,82,21,25
"Weiler, Ortschaftsverwaltung (50.8125110.501)",538,332,135,60,36,31,45,12,12
"Eichelberg, Kelter (50.8125110.601)",484,292,85,80,25,37,38,12,12
Briefwahl Obersulm (50.8125110.B901),0,1860,645,420,216,204,203,80,73
Gemeindehalle Gochsen (51.8125111.101),1222,733,278,138,46,60,146,22,33
Bürgerhaus Kochersteinsfeld (51.8125111.202),1027,660,284,103,53,61,121,8,22
Grundschule Lampoldshausen (51.8125111.303),673,417,139,85,20,55,81,14,15
Briefwahl Hardthausen am Kocher (51.8125111.B901),0,560,211,120,33,47,91,21,31
Brettach (52.8125113.101),1631,1080,448,196,56,119,184,33,30
Langenbeutingen (52.8125113.202),1136,756,270,142,85,71,122,28,23
Briefwahl Langenbrettach (52.8125113.B901),0,409,144,70,36,43,75,15,22
Endergebnis306 Wahlbezirke,242553,185705,64591,42455,14920,17566,28575,8448,6555
